Time,Latitude,Longitude,Depth,Magnitude,Place,Scale
28/01/2000,43.046,146.837,61.1,6.8,"84 km S of Shikotan, Russia",Strong
13/02/2000,42.853,131.572,513.6,6,"15 km E of Slavyanka, Russia",Moderate
3/06/2000,35.552,140.464,62.3,6.2,"6 km SE of Narut?, Japan",Strong
6/06/2000,29.424,131.421,33,6.4,"124 km SE of Koshima, Japan",Strong
9/06/2000,30.491,137.73,485.3,6.3,"Izu Islands, Japan region",Strong
15/06/2000,29.368,132.082,10,6.1,"177 km ESE of Koshima, Japan",Strong
25/06/2000,31.183,131.206,10,6,"33 km S of Kushima, Japan",Moderate
1/07/2000,34.221,139.131,10,6.1,"53 km SSE of Shimoda, Japan",Strong
15/07/2000,34.319,139.26,10,6.1,"near the south coast of Honshu, Japan",Strong
20/07/2000,36.51,140.983,47.1,6,"31 km ESE of Hitachi, Japan",Moderate
30/07/2000,33.901,139.376,10,6.5,"94 km SSE of Shimoda, Japan",Strong
6/08/2000,28.856,139.556,394.8,7.4,"Bonin Islands, Japan region",Major
3/10/2000,40.282,143.124,33,6.3,"123 km NE of Miyako, Japan",Strong
6/10/2000,35.456,133.134,10,6.7,"8 km ESE of Matsue, Japan",Strong
27/10/2000,26.266,140.46,388,6.1,"Bonin Islands, Japan region",Strong
13/11/2000,42.489,144.765,33,6,"62 km SSE of Kushiro, Japan",Moderate
22/12/2000,44.79,147.196,140.4,6.2,"72 km SW of Kuril’sk, Russia",Strong
26/02/2001,46.815,144.525,392,6.1,"135 km E of Korsakov, Russia",Strong
24/03/2001,34.083,132.526,50,6.8,"16 km SSW of Kure, Japan",Strong
14/04/2001,30.092,141.768,10,6,"Izu Islands, Japan region",Moderate
26/04/2001,43.097,145.923,86,6,"37 km SE of Nemuro, Japan",Moderate
13/08/2001,41.046,142.308,38,6.4,"87 km ENE of Misawa, Japan",Strong
2/12/2001,39.402,141.089,123.8,6.5,"3 km NW of Hanamaki, Japan",Strong
8/12/2001,28.251,129.574,33,6.2,"15 km SE of Naze, Japan",Strong
28/06/2002,43.752,130.666,566,7.3,"50 km SW of Dongning, China",Major
2/08/2002,29.28,138.97,426.1,6.3,"Izu Islands, Japan region",Strong
